_NAME_,pass,p_failures,p_t_absences,p_goout,p_higher,p_t_age,p_t_fedu,p_t_medu,p_dalc,p_mjob,p_guardian,p_reason,p_freetime,p_schoolsup,p_romantic,p_paid
pass,1,0.348472642,0.224080565,0.199409824,0.157707635,0.142641624,0.129518044,0.126723666,0.12241282,0.115348,0.115403942,0.1064918,0.103010494,0.099860233,0.097736605,0.09266546
p_failures,0.348472642,1,0.175707199,0.1240667,0.257263169,0.125264305,0.223256544,0.256963367,0.170135487,0.000373392,0.279114238,0.034767191,-0.025453082,0.001879085,0.119042385,0.189277943
p_t_absences,0.224080565,0.175707199,1,0.01690395,0.06527087,0.104107041,-0.070201923,-0.007964471,0.027106477,-3.1375E-05,0.052240625,0.030121042,-0.007370391,-0.078281048,0.182232501,0.077762469
p_goout,0.199409824,0.1240667,0.01690395,1,0.051465418,0.131662938,-0.034983649,-0.037464979,0.138955966,-0.066389556,0.046340962,0.040135669,0.060970311,-0.002988463,-0.005938748,0.000501222
p_higher,0.157707635,0.257263169,0.06527087,0.051465418,1,0.148462824,0.164773871,0.150149618,0.084651358,0.08384648,0.020213086,0.009199431,0.030233381,-0.054486019,0.105664454,0.189213846
p_t_age,0.142641624,0.125264305,0.104107041,0.131662938,0.148462824,1,0.143601211,0.146335941,0.085219011,0.106165107,0.178067702,0.035233623,-0.051558816,-0.25689986,0.162972678,0.007834257
p_t_fedu,0.129518044,0.223256544,-0.070201923,-0.034983649,0.164773871,0.143601211,1,0.571343071,-0.024833895,0.202754694,0.119946304,0.02712655,0.022395129,-0.010207334,0.001027027,0.091316517
p_t_medu,0.126723666,0.256963367,-0.007964471,-0.037464979,0.150149618,0.146335941,0.571343071,1,-0.014045954,0.36597886,0.078446522,0.096888243,0.062419636,0.041894198,-0.039890356,0.18084341
p_dalc,0.12241282,0.170135487,0.027106477,0.138955966,0.084651358,0.085219011,-0.024833895,-0.014045954,1,0.028949766,0.022236394,-0.002421519,0.021094938,-0.042819987,-0.028712313,-0.110476759
p_mjob,0.115348,0.000373392,-3.1375E-05,-0.066389556,0.08384648,0.106165107,0.202754694,0.36597886,0.028949766,1,0.042479236,0.143209348,0.115132727,0.052010885,0.013369688,0.115070963
p_guardian,0.115403942,0.279114238,0.052240625,0.046340962,0.020213086,0.178067702,0.119946304,0.078446522,0.022236394,0.042479236,1,-0.012030513,0.031293975,-0.067906011,0.119111786,-0.019632558
p_reason,0.1064918,0.034767191,0.030121042,0.040135669,0.009199431,0.035233623,0.02712655,0.096888243,-0.002421519,0.143209348,-0.012030513,1,-0.027413082,-0.00922236,-0.049184868,0.149920497
p_freetime,0.103010494,-0.025453082,-0.007370391,0.060970311,0.030233381,-0.051558816,0.022395129,0.062419636,0.021094938,0.115132727,0.031293975,-0.027413082,1,0.089840173,-0.048003058,0.033712641
p_schoolsup,0.099860233,0.001879085,-0.078281048,-0.002988463,-0.054486019,-0.25689986,-0.010207334,0.041894198,-0.042819987,0.052010885,-0.067906011,-0.00922236,0.089840173,1,-0.080716103,0.020753282
p_romantic,0.097736605,0.119042385,0.182232501,-0.005938748,0.105664454,0.162972678,0.001027027,-0.039890356,-0.028712313,0.013369688,0.119111786,-0.049184868,-0.048003058,-0.080716103,1,-0.005535859
p_paid,0.09266546,0.189277943,0.077762469,0.000501222,0.189213846,0.007834257,0.091316517,0.18084341,-0.110476759,0.115070963,-0.019632558,0.149920497,0.033712641,0.020753282,-0.005535859,1
