Number of Observations Read,395,,,,
Number of Observations Used,395,,,,
,,,,,
Analysis of Maximum Likelihood Estimates,,,,,
Parameter,DF,Estimate,Standard,Wald,Pr > ChiSq
,,,Error,Chi-Square,
Intercept,1,-8.5269,1.0841,61.8644,<.0001
p_failures,1,1.9119,0.3445,30.7961,<.0001
p_t_pout,1,1.5658,0.3308,22.3994,<.0001
p_t_pjob,1,1.8137,0.415,19.1034,<.0001
p_t_absences,1,1.2859,0.3989,10.3901,0.0013
p_t_higher_reason_ss,1,1.4424,0.4599,9.8365,0.0017
,,,,,
,,,,,
,,,,,
Association of Predicted Probabilities and,,,,,
Observed Responses,,,,,
Percent Concordant,80.8,Somers' D,0.623,,
Percent Discordant,18.6,Gamma,0.626,,
Percent Tied,0.6,Tau-a,0.276,,
Pairs,34450,c,0.811,,
,,,,,
,,,,,
confusion matrix,,,,,
act,pred,cnt,,,
0,0,72,,,
0,1,58,,,
1,0,25,,,
1,1,240,,,
