Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
DRC01,OUT010,134.1375432
DRC36,OUT010,468.5595292
DRD12,OUT010,245.2948763
DRE13,OUT010,241.5304426
DRE15,OUT010,179.0917468
DRE48,OUT010,543.1201748
DRF01,OUT010,255.1979707
DRF15,OUT010,148.897852
DRF48,OUT010,232.8503452
DRF51,OUT010,100.3700999
DRG13,OUT010,588.444311
DRG23,OUT010,274.4751559
DRG37,OUT010,256.2300825
DRG48,OUT010,390.1693418
DRH11,OUT010,146.1529525
DRH23,OUT010,123.800148
DRH37,OUT010,328.3348692
DRH39,OUT010,230.2953444
DRH49,OUT010,86.69739277
DRI03,OUT010,437.3971509
DRJ25,OUT010,159.0488012
DRJ39,OUT010,664.5246396
DRJ47,OUT010,498.2251604
DRK13,OUT010,576.1872125
DRK39,OUT010,256.3632582
DRK47,OUT010,504.5021759
DRK49,OUT010,92.06881342
DRL11,OUT010,486.0647375
DRL37,OUT010,120.2280792
DRM11,OUT010,580.5030923
DRM48,OUT010,136.3127466
DRO35,OUT010,405.520063
DRP47,OUT010,588.8586355
DRZ24,OUT010,406.452293
FDA02,OUT010,263.3031929
FDA09,OUT010,469.843935
FDA13,OUT010,76.01559035
FDA22,OUT010,606.6400601
FDA23,OUT010,299.1422585
FDA26,OUT010,517.988437
FDA31,OUT010,363.5697116
FDA38,OUT010,299.1422585
FDA40,OUT010,136.727071
FDA46,OUT010,594.8318131
FDA52,OUT010,450.1635233
FDA56,OUT010,428.390773
FDB03,OUT010,568.3702911
FDB04,OUT010,234.3892646
FDB09,OUT010,162.7052145
FDB10,OUT010,330.9416606
FDB11,OUT010,693.2062502
FDB20,OUT010,181.7848558
FDB23,OUT010,550.1192987
FDB33,OUT010,450.5571315
FDB35,OUT010,212.0305412
FDB38,OUT010,377.8639054
FDB44,OUT010,551.631583
FDB47,OUT010,357.7691692
FDB59,OUT010,388.9263684
FDC03,OUT010,500.7628977
FDC10,OUT010,172.4832717
FDC20,OUT010,78.3073225
FDC22,OUT010,438.5624385
FDC28,OUT010,216.1116371
FDC32,OUT010,192.9301837
FDC33,OUT010,556.9901793
FDC37,OUT010,289.0603633
FDC44,OUT010,377.8639054
FDC51,OUT010,333.4276073
FDC56,OUT010,341.8176776
FDC57,OUT010,292.875601
FDD05,OUT010,342.1543162
FDD08,OUT010,97.41803812
FDD09,OUT010,511.8288134
FDD14,OUT010,377.7775878
FDD22,OUT010,522.0488167
FDD32,OUT010,160.0673488
FDD33,OUT010,668.7714653
FDD40,OUT010,533.8398002
FDD45,OUT010,231.6591624
FDD48,OUT010,311.7791544
FDD51,OUT010,70.43515781
FDD58,OUT010,201.9831731
FDE02,OUT010,274.5728181
FDE21,OUT010,354.4545736
FDE23,OUT010,137.7628822
FDE29,OUT010,163.3819445
FDE36,OUT010,624.2833766
FDE45,OUT010,484.8217642
FDE47,OUT010,305.0722773
FDF02,OUT010,256.8811638
FDF09,OUT010,65.73948062
FDF11,OUT010,501.0632829
FDF28,OUT010,361.5671434
FDF29,OUT010,335.2920674
FDF39,OUT010,848.9767091
FDF41,OUT010,619.5876994
FDF44,OUT010,527.8493591
FDF59,OUT010,211.5644262
FDG28,OUT010,400.2374261
FDG56,OUT010,228.7071006
FDG60,OUT010,714.6268246
FDH02,OUT010,171.8617851
FDH04,OUT010,176.0878945
FDH05,OUT010,624.8012822
FDH08,OUT010,482.4290404
FDH12,OUT010,203.0189843
FDH16,OUT010,226.5318972
FDH20,OUT010,262.8370778
FDH28,OUT010,77.49162123
FDH31,OUT010,194.4631842
FDH32,OUT010,335.4301755
FDH41,OUT010,457.2415661
FDH46,OUT010,223.3208827
FDH52,OUT010,141.2846401
FDI04,OUT010,474.6382609
FDI15,OUT010,618.3792531
FDI27,OUT010,107.4136157
FDI28,OUT010,186.946648
FDI36,OUT010,461.4538648
FDI41,OUT010,397.7385317
FDI53,OUT010,284.0884698
FDJ02,OUT010,217.4685497
FDJ10,OUT010,356.9750473
FDJ12,OUT010,557.4735578
FDJ26,OUT010,432.2439905
FDJ32,OUT010,111.9711847
FDJ33,OUT010,388.0407499
FDJ50,OUT010,152.7476167
FDJ53,OUT010,234.3522714
FDJ60,OUT010,393.8844511
FDK26,OUT010,484.7596155
FDK33,OUT010,535.859632
FDK34,OUT010,574.7716039
FDK36,OUT010,127.0318787
FDK41,OUT010,209.9243919
FDK48,OUT010,264.52545
FDK57,OUT010,689.8502221
FDL03,OUT010,433.9012883
FDL09,OUT010,256.6740015
FDL12,OUT010,158.4791051
FDL15,OUT010,197.6672934
FDL16,OUT010,95.70894973
FDL26,OUT010,545.3545674
FDL27,OUT010,180.8526258
FDL39,OUT010,369.5946798
FDM20,OUT010,769.9805722
FDM22,OUT010,159.5149162
FDM24,OUT010,343.2885294
FDM40,OUT010,301.5246241
FDM46,OUT010,275.5257644
FDM56,OUT010,135.8984221
FDM60,OUT010,101.0951677
FDN02,OUT010,590.5849874
FDN20,OUT010,532.8557796
FDN21,OUT010,290.056715
FDN31,OUT010,361.6275657
FDN32,OUT010,556.6241927
FDN38,OUT010,597.1796517
FDN45,OUT010,539.4504439
