Date,BTC,ETH,XRP,LTC,XMR,DASH,XEM
20-Feb-18,11403.7,895.37,1.09,232.85,304.4,685.04,0.484397
19-Feb-18,11225.3,943.87,1.14,223.06,316.49,728.73,0.529261
18-Feb-18,10551.8,923.92,1.12,215.74,300.12,689.28,0.530407
17-Feb-18,11112.7,974.12,1.2,229.47,325.67,742.16,0.59888
16-Feb-18,10233.9,944.21,1.14,230.12,296.48,698.86,0.568887
15-Feb-18,10166.4,936.98,1.15,225.43,303.25,703.86,0.561359
14-Feb-18,9494.63,923.56,1.14,213.36,276.66,678.98,0.570005
13-Feb-18,8598.31,845.26,1.03,159.55,234.69,595.47,0.533186
12-Feb-18,8926.57,868.71,1.08,161.57,247.57,620.56,0.557894
11-Feb-18,8129.97,814.66,1,148.99,229.49,580.02,0.52864
10-Feb-18,8621.9,860.41,1.07,155.59,250.03,634.1,0.590511
9-Feb-18,8736.98,883.87,0.954428,163.95,260.43,637.82,0.590486
8-Feb-18,8265.59,817.81,0.805263,149.47,247.22,605,0.543094
7-Feb-18,7621.3,757.07,0.723895,138.2,207.28,521.99,0.536718
6-Feb-18,7754,793.12,0.776393,142.99,212.29,528.5,0.5842
5-Feb-18,6955.27,697.95,0.691799,125.33,179.49,451.43,0.449672
4-Feb-18,8277.01,834.68,0.815703,148.03,221.05,549.96,0.55087
3-Feb-18,9174.91,964.02,0.924043,160.25,251.59,637.37,0.628795
2-Feb-18,8830.75,915.78,0.884784,131.38,235.63,586.88,0.582652
1-Feb-18,9170.54,1036.79,0.96253,142.3,240.97,617.04,0.618265
31-Jan-18,10221.1,1118.31,1.16,163.35,272.89,697.46,0.779857
30-Jan-18,10106.3,1071.13,1.14,165.28,274.02,676.91,0.776491
29-Jan-18,11296.4,1182.36,1.32,181.66,316.63,767.69,0.935431
28-Jan-18,11786.3,1246.01,1.4,193.87,332.17,812.24,1.03
27-Jan-18,11440.7,1107.07,1.22,180.89,321.36,773.84,1.06
26-Jan-18,11171.4,1055.17,1.22,176.73,323.69,782.41,0.839974
25-Jan-18,11259.4,1056.03,1.31,180.27,317.1,795.65,0.9491
24-Jan-18,11359.4,1058.78,1.36,179.99,317.4,775.11,0.96375
23-Jan-18,10868.4,986.23,1.34,177.81,308.46,757.34,0.942383
