COUNTRY,MISSION,VISA ISSUE DATE,EMPLOYMENT VISA,TOURIST VISA,BUSINESS VISA,CONFERENCE VISA,BUS VISA INDSPOUSE,BUSINESS VISA TRANSFER,DIPLOMATIC VISA,DIPLOMATIC DEPENDANT VISA,EMPLOYMENT VISA INDSPOUSE,ENTRY VISA,MEDICAL VISA,MEDICAL ATTENDENT VISA,MISSIONARY VISA,PILGRIMAGE VISA,RESEARCH VISA,PROJECT VISA,TRANSIT VISA,VISIT VISA,ART SURROGACY,LONG TERM VISA TRANSFER,STUDENT VISA
BANGLADESH,BANGLADESH-CHITTAGONG,01-01-2013,0,140,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
BANGLADESH,BANGLADESH-DHAKA,01-01-2013,0,1228,11,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
BANGLADESH,BANGLADESH-RAJSHAHI,01-01-2013,0,142,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETHIOPIA,ETHIOPIA-ADDISABABA,01-01-2013,0,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNITED KINGDOM,UK-BIRMINGHAM,01-01-2013,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNITED KINGDOM,UK-LONDON,01-01-2013,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IRELAND,IRELAND-DUBLIN,01-01-2013,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IRAN,IRAN-BANDARABBAS,01-01-2013,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IRAN,IRAN-TEHRAN,01-01-2013,0,115,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
ISRAEL,ISRAEL-TELAVIV,01-01-2013,0,77,64,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KAZAKHSTAN,KAZAKSTAN-ALMATY,01-01-2013,0,54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
KAZAKHSTAN,KAZAKSTAN-ASTANA,01-01-2013,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MALDIVES,MALDIVES-MALE,01-01-2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
MALAYSIA,MALAYSIA-KUALALUMPUR,01-01-2013,0,539,25,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
NIGERIA,NIGERIA-LAGOS,01-01-2013,0,2,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEPAL,NEPAL-KATHMANDU,01-01-2013,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
