item_id,item_category_id,item_category,item_name
0,40,Movies,Movies - DVD
1,76,Programs ,Programs - Home and Office
2,40,Movies,Movies - DVD
3,40,Movies,Movies - DVD
4,40,Movies,Movies - DVD
5,40,Movies,Movies - DVD
6,40,Movies,Movies - DVD
7,40,Movies,Movies - DVD
8,40,Movies,Movies - DVD
9,40,Movies,Movies - DVD
10,40,Movies,Movies - DVD
11,40,Movies,Movies - DVD
12,55,Music,Music - CD local production
13,40,Movies,Movies - DVD
14,40,Movies,Movies - DVD
15,40,Movies,Movies - DVD
16,40,Movies,Movies - DVD
17,40,Movies,Movies - DVD
18,40,Movies,Movies - DVD
19,40,Movies,Movies - DVD
20,40,Movies,Movies - DVD
21,40,Movies,Movies - DVD
22,40,Movies,Movies - DVD
23,40,Movies,Movies - DVD
24,40,Movies,Movies - DVD
25,40,Movies,Movies - DVD
26,40,Movies,Movies - DVD
27,19,Games,Games - PS3
28,30,Games,PC Games - Standard Edition
29,23,Games,Games - XBOX 360
30,40,Movies,Movies - DVD
31,37,Movies,Movies - BluRay
32,40,Movies,Movies - DVD
33,37,Movies,Movies - BluRay
34,40,Movies,Movies - DVD
35,40,Movies,Movies - DVD
36,37,Movies,Movies - BluRay
37,40,Movies,Movies - DVD
38,41,Movies,Cinema - Collector
39,41,Movies,Cinema - Collector
40,57,Music,Music - MP3
41,57,Music,Music - MP3
42,57,Music,Music - MP3
43,40,Movies,Movies - DVD
44,57,Music,Music - MP3
45,57,Music,Music - MP3
46,57,Music,Music - MP3
47,57,Music,Music - MP3
48,57,Music,Music - MP3
49,57,Music,Music - MP3
50,57,Music,Music - MP3
51,57,Music,Music - MP3
52,57,Music,Music - MP3
53,57,Music,Music - MP3
54,57,Music,Music - MP3
55,43,Books,Books - Audiobooks
56,57,Music,Music - MP3
57,57,Music,Music - MP3
58,78,Programs ,Programs - Teaching
59,57,Music,Music - MP3
60,43,Books,Books - Audiobooks
61,43,Books,Books - Audiobooks
62,37,Movies,Movies - BluRay
63,40,Movies,Movies - DVD
64,40,Movies,Movies - DVD
