ID,target,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7
000d6aaf2,38000000,0.5756447566,-1.211049133,0.164117458,-1.233463136,3.2047299553,-1.583955971,-0.59358461
000fbd867,600000,0.1279581049,-0.41819664,0.589008692,-0.24236066,1.3828147096,-1.004933474,-0.012377975
0027d6b71,10000000,-0.209232236,-0.068559376,-0.10857543,0.0072355358,0.134486775,-0.119883963,-0.274472875
0028cbf45,2000000,-0.300347919,-0.207016085,0.1454032938,-0.067913621,-0.043428393,0.0186390101,0.1072679203
002a68644,14400000,-0.049759537,0.0341721838,-0.400022467,0.1359694622,0.3976597288,0.2604655936,0.7273588219
002dbeb22,2800000,4.9585492127,-6.020336731,-8.443612434,0.4453149,1.4259254353,-5.452532865,-0.619419708
003925ac6,164000,-0.309343904,-0.18966758,0.0960837818,-0.060348865,-0.144508503,-0.11934247,-0.012711375
003eb0261,600000,0.0695319971,-0.111159963,-0.338411807,-0.275027105,1.6931933047,0.1981372304,0.9462449042
004b92275,979000,-0.235983228,-0.226178908,0.2479391556,0.0034204402,0.1408337716,0.1483311569,0.3048914088
0067b4fef,460000,-0.212507594,-0.339450963,0.2640671262,-0.095578694,0.2499401065,0.3392025506,0.297051097
00689ee2c,1100000,-0.112446392,-0.503004148,-0.115014573,0.3205932189,-0.279189414,0.0695174859,0.3251736744
0069007ac,16000000,-0.085091982,-0.257446735,0.0402489382,-0.008680076,0.526846673,-0.010404573,-0.047041462
006b60dd7,354000,-0.309841986,-0.18037839,0.1089979359,-0.053714182,-0.12266993,-0.12891136,-0.00605341
008057126,7000000,1.5007458108,-1.063256733,-0.187703896,-1.139235624,0.8585103573,-0.045088451,1.8285397294
008825875,100000,-0.314456649,-0.179115674,0.1033877364,-0.059421594,-0.138069844,-0.121037884,-0.022587735
0096e207e,800000,-0.314035966,-0.178107911,0.1026232211,-0.059898043,-0.136408094,-0.118413399,-0.020158595
00c2deb75,200000,-0.291683894,-0.21026967,0.1334594004,-0.091352633,-0.016051628,-0.080479214,-0.100897283
00ce2134f,3600000,0.8696838455,-0.763784731,-1.02019977,-0.444873533,0.9629675832,-0.383987956,0.0817731818
00e7ba121,2786000,-0.028400393,0.02041403,-0.242549185,-0.032448632,0.6902115414,-0.068852113,0.4885182094
00ecc53f2,40000,-0.160186864,-0.266913055,0.0455312552,-0.143811871,0.3711129925,-0.049253975,-0.139074113
00fb69afe,1600000,0.0404296171,-0.829489857,0.1189990406,-0.075047992,0.2036086093,-0.025475861,-0.038377043
00fc78888,3266666.66,1.0773599677,-1.171396798,-1.334806974,-0.865954435,0.1946301547,1.026039152,0.5327820471
0110c05db,6140000,1.3724936021,0.6117872151,1.6963572246,-0.209961046,2.403648926,0.2446399627,3.6559597381
0126abf21,14886000,3.3580672561,-1.681835344,0.6293884026,-4.017585094,8.9950018448,16.667934643,-14.02365238
012800ace,833333.34,-0.314456649,-0.179115674,0.1033877364,-0.059421594,-0.138069844,-0.121037884,-0.022587735
012d8bc84,400000,-0.293637488,-0.193590689,0.1126542337,-0.081873835,-0.179323834,-0.133354031,-0.044050076
012d9baab,6500000,-0.15685905,-0.00357097,-0.106481042,-0.232120814,-0.591742247,0.7059904824,0.251771052
01346ebb9,1700000,0.0051766886,0.021897652,-0.457682508,0.2773373862,0.170628839,0.390568633,0.8035570148
013842698,933333.34,0.1787886845,-0.418565428,-0.132249992,-0.392347316,0.6803894741,0.6186796841,-0.14148396
01432f2c7,4000000,0.0214280562,0.2139840897,-0.344892644,0.0413996519,1.2767710986,0.1954553964,0.6082446683
014aa259b,102000,-0.314456649,-0.179115674,0.1033877364,-0.059421594,-0.138069844,-0.121037884,-0.022587735
015a1c656,20000000,-0.314456649,-0.179115674,0.1033877364,-0.059421594,-0.138069844,-0.121037884,-0.022587735
0161ebeea,4666666.66,-0.057819266,-0.11332406,-0.127417822,-0.086442985,0.3751961258,0.0088604796,-0.323619016
0163ff75d,20000000,-0.314456649,-0.179115674,0.1033877364,-0.059421594,-0.138069844,-0.121037884,-0.022587735
01666d7a4,890000,-0.000133535,0.3666743737,0.0379869464,0.5714111809,0.4775151349,-0.251481055,-0.031084369
017ad263f,6000000,1.7664152893,-2.558413257,-2.027404567,-0.919640051,-3.92743467,-0.984529359,-0.340907841
01a09167b,20000000,-0.314456649,-0.179115674,0.1033877364,-0.059421594,-0.138069844,-0.121037884,-0.022587735
01b1dd07c,2000000,-0.138631172,-0.303601612,0.2541554198,-0.236460911,0.4808634814,-0.135094892,-0.14731232
01b4bd64a,18000000,-0.088135995,-0.373560479,0.1521667676,-0.175570558,0.641834932,-0.297260973,-1.21643522
01b4c938b,6400000,1.2382250203,-1.421908683,-0.371089269,-1.503801296,1.2014018597,3.8954646701,-1.025854746
01bf430de,20000000,0.1204946371,-0.062598961,0.251610603,-0.370154548,1.6780300979,2.4153589457,2.3928405704
01db20056,10000000,0.5996522767,-0.945977388,-2.167515105,0.1327328971,-1.908912338,0.5131258513,1.530950877
020b34e31,5000000,-0.217477728,-0.189264922,0.0649925205,-0.131720736,-0.260944007,0.0065827266,0.2633154546
02111eb6f,9000000,-0.210307435,-0.209162122,0.3752472245,-0.201757966,0.2047745369,-0.096667596,0.6445990299
021f11b0c,34738000,2.7105824921,-1.776083915,-2.411029331,-0.127189924,3.1952031879,3.2910846066,0.5700471575
025b6897a,4000000,0.5473585089,-0.806372313,-0.187562525,0.6963832545,0.1994386278,1.861267253,0.992481171
026c1767f,1650000,-0.274332569,-0.178602922,0.0993209531,-0.088039389,0.0270863352,-0.164834808,0.0748338041
0270d1d7b,4500000,-0.314456649,-0.179115674,0.1033877364,-0.059421594,-0.138069844,-0.121037884,-0.022587735
027484f21,13200000,0.2871725073,-1.116380251,-0.745213699,-0.145512676,-1.050802537,-0.089055246,0.7574698337
028020c53,10000000,-0.314093858,-0.178681649,0.1023427281,-0.059004286,-0.138434513,-0.120469261,-0.022165232
02869e5f9,2450000,-0.152954835,-0.243682528,0.1787030824,0.3080299991,0.0306312646,-0.06092533,0.0274298134
02aa73470,10050000,0.2088380207,-0.536371703,-0.167504969,-0.205246163,0.6416825398,-0.147766581,-0.551243586
02c00f064,1400000,-0.284001975,-0.208238483,0.0807457463,-0.075135529,-0.112538982,-0.092101646,-0.040277377
02d144b6b,2000000,-0.010331846,-0.316610346,-0.175598266,-0.1002797,0.6104257041,0.1887825353,0.4809154497
02d2b0a64,26000000,-0.196531036,0.0627778283,-0.167073575,0.0396359181,0.3659661659,0.0049822009,0.1620911572
02d4da4c6,232000,-0.049821709,-0.280444602,0.0565397753,-0.254014847,0.2785089249,1.0616970163,-0.830440853
02d69b525,6000000,-0.314456649,-0.179115674,0.1033877364,-0.059421594,-0.138069844,-0.121037884,-0.022587735
02d791038,300000,0.1240070404,-0.520988399,0.0321160852,-0.484804142,-0.727248364,0.1687905872,-0.546653372
02e34c8e3,100000,-0.312934604,-0.182127249,0.1077452512,-0.060501389,-0.127819678,-0.106966077,-0.009481864
02f97498e,8000000,0.7405419357,-0.536328965,-0.516159764,0.1498277989,-0.920539738,-0.581637668,3.0401071656
02fc56b21,20000000,0.8363667237,-2.09560955,-1.289525281,0.3465843965,-0.556997938,0.1929507268,-0.426361415
030edce8a,19333333.34,-0.081404818,-0.329891974,0.0764715201,-0.190727235,0.8176189266,0.1960279358,-0.742601346
