Mnemonics,HK_EQUITYP_HS_M,HK_RATE_LENDINGB_M,HK_RATE_POLICY_M,HK_XREALGDP_Q,SG_EQUITYP_STI_M,SG_EXRATE_M,SG_RATE_LENDING_M,SG_REALGDP_Q,US_CPI_M,US_LBR_M,US_OILPRICE_M,US_RATE_POLICY_M,US_RGDP_Q,US_RHPI_M
1-Jan-01,14923.06778,8.5,7,334427,1787.27,1.781136954,5.8,46839.3,175.1444444,4.122222222,26.46666667,5.673333333,12655.3,110.1196667
1-Feb-01,14854.85,8,6.5,324818,1692.58,1.804402743,5.8,46745.2,175.7,4.233333333,26.3,5.31,12643.3,110.968
1-Mar-01,14316.60333,7.666666667,6.083333333,326151.6667,1685.22,1.810431669,5.8,46385.33333,176.3111111,4.288888889,26.28666667,4.863333333,12665.63333,111.8323333
1-Apr-01,13778.35667,7.333333333,5.666666667,327485.3333,1677.86,1.816460595,5.8,46025.46667,176.9222222,4.344444444,26.27333333,4.416666667,12687.96667,112.6966667
1-May-01,13240.11,7,5.25,328819,1670.5,1.822489521,5.8,45665.6,177.5333333,4.4,26.26,3.97,12710.3,113.561
1-Jun-01,12611.46556,6.666666667,5,334490.3333,1551.593333,1.803401369,5.693333333,45277.46667,177.6111111,4.544444444,25.31666667,3.67,12696.9,114.1973333
1-Jul-01,11982.82111,6.333333333,4.75,340161.6667,1432.686667,1.784313218,5.586666667,44889.33333,177.6888889,4.688888889,24.37333333,3.37,12683.5,114.8336667
1-Aug-01,11354.17667,6,4.5,345833,1313.78,1.765225066,5.48,44501.2,177.7666667,4.833333333,23.43,3.07,12670.1,115.47
1-Sep-01,11188.28778,5.708333333,4.083333333,347442.3333,1420.666667,1.791936352,5.42,44604.96667,177.6,5.055555556,22.23333333,2.653333333,12681.83333,116.234
1-Oct-01,11022.39889,5.416666667,3.666666667,349051.6667,1527.553333,1.818647637,5.36,44708.73333,177.4333333,5.277777778,21.03666667,2.236666667,12693.56667,116.998
1-Nov-01,10856.51,5.125,3.25,350661,1634.44,1.845358922,5.3,44812.5,177.2666667,5.5,19.84,1.82,12705.3,117.762
1-Dec-01,10885.02778,5.125,3.25,341417.3333,1696.696667,1.844565366,5.316666667,45329.16667,177.4777778,5.566666667,21.99666667,1.79,12744.3,118.3526667
1-Jan-02,10913.54556,5.125,3.25,332173.6667,1758.953333,1.843771809,5.333333333,45845.83333,177.6888889,5.633333333,24.15333333,1.76,12783.3,118.9433333
1-Feb-02,10942.06333,5.125,3.25,322930,1821.21,1.842978253,5.35,46362.5,177.9,5.7,26.31,1.73,12822.3,119.534
1-Mar-02,11035.20778,5.125,3.25,325436.6667,1728.206667,1.817684389,5.35,46820.66667,178.5444444,5.744444444,26.49333333,1.736666667,12845.86667,120.3613333
1-Apr-02,11128.35222,5.125,3.25,327943.3333,1635.203333,1.792390524,5.35,47278.83333,179.1888889,5.788888889,26.67666667,1.743333333,12869.43333,121.1886667
1-May-02,11221.49667,5.125,3.25,330450,1542.2,1.76709666,5.35,47737,179.8333333,5.833333333,26.86,1.75,12893,122.016
1-Jun-02,10822.87,5.125,3.25,338290.3333,1468.043333,1.77118425,5.35,47687.53333,180.0888889,5.8,28.05666667,1.75,12913.93333,123.2113333
1-Jul-02,10424.24333,5.125,3.25,346130.6667,1393.886667,1.77527184,5.35,47638.06667,180.3444444,5.766666667,29.25333333,1.75,12934.86667,124.4066667
1-Aug-02,10025.61667,5.125,3.25,353971,1319.73,1.779359431,5.35,47588.6,180.6,5.733333333,30.45,1.75,12955.8,125.602
1-Sep-02,9900.78,5.083333333,3.083333333,357696.3333,1314.103333,1.764541725,5.35,47581.56667,180.7888889,5.777777778,30.7,1.58,12958.53333,126.4676667
1-Oct-02,9775.943333,5.041666667,2.916666667,361421.6667,1308.476667,1.74972402,5.35,47574.53333,180.9777778,5.822222222,30.95,1.41,12961.26667,127.3333333
1-Nov-02,9651.106667,5,2.75,365147,1302.85,1.734906315,5.35,47567.5,181.1666667,5.866666667,31.2,1.24,12964,128.199
1-Dec-02,9522.46,5,2.75,355244,1280.316667,1.744701128,5.333333333,47766.8,181.7777778,5.866666667,31.14666667,1.243333333,12986.4,129.0933333
1-Jan-03,9393.813333,5,2.75,345341,1257.783333,1.754495942,5.316666667,47966.1,182.3888889,5.866666667,31.09333333,1.246666667,13008.8,129.9876667
1-Feb-03,9265.166667,5,2.75,335438,1235.25,1.764290755,5.3,48165.4,183,5.866666667,31.04,1.25,13031.2,130.882
1-Mar-03,9237.286667,5,2.666666667,333155.3333,1298.58,1.762944996,5.3,47968.83333,183.2222222,5.955555556,30.75666667,1.24,13071.5,131.7686667
1-Apr-03,9209.406667,5,2.583333333,330872.6667,1361.91,1.761599236,5.3,47772.26667,183.4444444,6.044444444,30.47333333,1.23,13111.8,132.6553333
1-May-03,9181.526667,5,2.5,328590,1425.24,1.760253477,5.3,47575.7,183.6666667,6.133333333,30.19,1.22,13152.1,133.542
1-Jun-03,9618.305556,5,2.5,341758,1485.503333,1.749705141,5.3,48428.46667,183.9666667,6.133333333,29.86,1.15,13225.53333,134.5396667
1-Jul-03,10055.08444,5,2.5,354926,1545.766667,1.739156806,5.3,49281.23333,184.2666667,6.133333333,29.53,1.08,13298.96667,135.5373333
1-Aug-03,10491.86333,5,2.5,368094,1606.03,1.72860847,5.3,50134,184.5666667,6.133333333,29.2,1.01,13372.4,136.535
1-Sep-03,11043.50444,5,2.5,372837.3333,1647.48,1.719299071,5.3,50664.7,184.5777778,6.033333333,30.30666667,1,13424.5,137.9
1-Oct-03,11595.14556,5,2.5,377580.6667,1688.93,1.709989671,5.3,51195.4,184.5888889,5.933333333,31.41333333,0.99,13476.6,139.265
1-Nov-03,12146.78667,5,2.5,382324,1730.38,1.700680272,5.3,51726.1,184.6,5.833333333,32.52,0.98,13528.7,140.63
1-Dec-03,12532.14667,5,2.5,375537.6667,1756.24,1.692321254,5.3,52181.93333,185.1555556,5.788888889,33.6,0.986666667,13554.63333,142.3063333
1-Jan-04,12917.50667,5,2.5,368751.3333,1782.1,1.683962235,5.3,52637.76667,185.7111111,5.744444444,34.68,0.993333333,13580.56667,143.9826667
