Mnemonics,US_RHPI_M,US_LBR_M
1-Jan-16,181.6666667,5.333333333
1-Feb-16,180.2333333,5.666666667
1-Mar-16,178.8,6
1-Apr-16,177.0333333,6.4
1-May-16,175.2666667,6.8
1-Jun-16,173.5,7.2
1-Jul-16,171.4666667,7.566666667
1-Aug-16,169.4333333,7.933333333
1-Sep-16,167.4,8.3
1-Oct-16,165.2,8.566666667
1-Nov-16,163,8.833333333
1-Dec-16,160.8,9.1
1-Jan-17,158.7666667,9.3
1-Feb-17,156.7333333,9.5
1-Mar-17,154.7,9.7
1-Apr-17,152.7666667,9.766666667
1-May-17,150.8333333,9.833333333
1-Jun-17,148.9,9.9
1-Jul-17,147.2666667,9.933333333
1-Aug-17,145.6333333,9.966666667
1-Sep-17,144,10
1-Oct-17,142.9333333,9.966666667
1-Nov-17,141.8666667,9.933333333
1-Dec-17,140.8,9.9
1-Jan-18,140.0333333,9.866666667
1-Feb-18,139.2666667,9.833333333
1-Mar-18,138.5,9.8
