year_quarter,time,interest_rate_time,hpi_time,rgdp_time,uer_time,cpi_time,oil_price_time,,,,,
1997Q1,-12,5.39,82.18021705,10820.9,5.233333333,159.5666667,20.41,,,,,
1997Q2,-11,5.56,82.91707918,10984.2,5,160.2,19.8,,,,,
1997Q3,-10,5.54,84.01796887,11124,4.866666667,160.8333333,21.18,,,,,
1997Q4,-9,5.5,85.35220763,11210.3,4.666666667,161.4666667,17.64,,,,,
1998Q1,-8,5.49,87.23883679,11321.2,4.633333333,161.9,15.7,,,,,
1998Q2,-7,5.56,88.63210884,11431,4.4,162.7666667,14.26,,,,,
1998Q3,-6,5.51,90.08679035,11580.6,4.533333333,163.4,16.17,,,,,
1998Q4,-5,4.68,91.96817021,11770.7,4.433333333,163.9666667,12.09,,,,,
1999Q1,-4,4.81,93.41112459,11864.7,4.3,164.6,16.76,,,,,
1999Q2,-3,4.76,95.13808759,11962.5,4.266666667,166.2,19.29,,,,,
1999Q3,-2,5.22,97.05327583,12113.1,4.233333333,167.2333333,24.51,,,,,
1999Q4,-1,5.3,99.07074942,12323.3,4.066666667,168.2666667,25.6,,,,,
2000Q1,0,5.85,101.5767245,12359.1,4.033333333,169.9333333,26.9,,,,,
2000Q2,1,6.53,104.4541902,12592.5,3.933333333,171.7333333,32.5,,,,,
2000Q3,2,6.52,106.7700887,12607.7,4,173.1,30.84,,,,,
2000Q4,3,6.4,109.2090368,12679.3,3.9,174.0333333,26.8,,,,,
2001Q1,4,5.31,111.9623311,12643.3,4.233333333,175.7,26.3,,,,,
2001Q2,5,3.97,114.1163116,12710.3,4.4,177.5333333,26.26,,,,,
2001Q3,6,3.07,116.1916769,12670.1,4.833333333,177.7666667,23.43,,,,,
2001Q4,7,1.82,118.4010213,12705.3,5.5,177.2666667,19.84,,,,,
2002Q1,8,1.73,120.3421604,12822.3,5.7,177.9,26.31,,,,,
2002Q2,9,1.75,123.1250473,12893,5.833333333,179.8333333,26.86,,,,,
2002Q3,10,1.75,126.5252746,12955.8,5.733333333,180.6,30.45,,,,,
2002Q4,11,1.24,128.9859922,12964,5.866666667,181.1666667,31.2,,,,,
2003Q1,12,1.25,131.8142249,13031.2,5.866666667,183,31.04,,,,,
