time,interest_rate_time,hpi_time,gdp_time,uer_time
1,9.9121908127,107.83,5.1324641859,3.8
2,10.150081285,110.9,4.0020226822,4
3,10.225566402,113.56,2.8478963057,3.9
4,10.236244946,116.69,2.2734796749,4.2
5,10.255770087,120.03,0.9311289747,4.4
6,10.33947821,122.89,0.4937148546,4.6
7,10.305062169,123.64,0.2048486806,5.3
8,10.280958519,125.92,1.4058411984,5.7
9,10.119853659,132.76,1.4271840044,5.9
10,10.013084034,138.62,2.2298677365,5.8
11,9.7238730159,142.18,2.0157056035,5.7
12,9.3010128913,144.84,1.6160639484,5.8
13,9.0683905983,149.7,1.9896913263,6
14,8.8167235247,155.77,3.1649317035,6.2
15,8.4596378378,161.27,4.2637069508,6
16,7.9522309985,167.91,4.320113768,5.7
17,7.4904384058,179.45,4.1266843515,5.6
18,7.199201294,186.91,3.3705107906,5.5
19,6.7376414807,191.42,3.0694826904,5.5
20,6.742645347,199.21,3.5563345819,5.3
21,6.7547963484,208.86,3.3469293746,5.2
22,6.8494369862,216.77,3.2787956953,5
23,6.7011474508,221.91,2.9871094449,5
24,6.78902917,223.75,3.1211950891,4.7
25,6.8671079355,226.29,2.8991367167,4.7
26,6.9560492877,225.1,2.1513648831,4.7
27,7.1626163898,222.39,2.3617217155,4.4
28,7.2991088453,219.67,1.2291722496,4.6
29,7.3875347366,217.37,1.6929686703,4.5
30,7.453409326,212.73,2.2742178006,4.7
31,7.4934197786,200.67,1.8506891663,4.7
32,7.5160087614,186.12,1.1041627602,5
33,7.4665881433,180.52,0.8368586627,5
34,7.3473304339,173.35,-0.314447747,5.8
35,7.1902737193,162.09,-2.805844087,6.5
36,7.1112125258,151.48,-3.516567987,7.8
37,6.962333935,153.35,-4.146710947,9
38,6.7969965465,158.77,-3.339549297,9.5
39,6.6685476575,158.16,-0.241080652,10
40,6.5410340247,156.21,1.5859655122,9.8
41,6.3998874226,161.06,2.6824968062,9.9
42,6.2562583124,161,3.0294986398,9.4
43,6.1321651735,156.04,2.6941105489,9.4
44,6.0164314634,150.91,1.8755149375,9.2
45,5.9212462935,154.87,1.6391549258,9.1
46,5.8320042991,155.61,1.1759090317,9
47,5.7268556922,149.58,1.6681823188,8.8
48,5.638139947,146.45,2.7159028846,8.3
49,5.5828042395,154.94,2.4566338212,8.2
50,5.5303338475,158.94,2.3664098989,8.2
51,5.4953047311,158.6,1.2690442628,7.8
52,5.5182537564,161.13,1.0810494182,8
53,5.4327565836,173.17,0.8929961554,7.6
54,5.3728119748,179.97,1.5073587076,7.3
55,5.3128819384,180.07,2.4222748689,7.2
56,5.2728145426,181.43,1.7170529058,6.6
57,5.216430688,187.2,2.5560517331,6.2
58,5.1879101627,188.37,2.8685938252,6.2
59,5.1446515096,187.65,2.4436475652,5.7
60,5.1525193653,189.82,2.8363581757,5.7
